"SV.Stern.Britz.1889","SC.Borsigwalde.1910","K̦penicker.FC","Scenario_ID","Scenario_ID","Expected_Points","Final_Rank","Scenario_Probability"
"W","W","W",1,1,41,8,0.087035
"D","W","W",2,2,39,9,0.029235
"L","W","W",3,3,38,9,0.017836
"W","D","W",4,4,39,9,0.060363
"D","D","W",5,5,37,11,0.020276
"L","D","W",6,6,36,11,0.01237
"W","L","W",7,7,38,10,0.052943
"D","L","W",8,8,36,11,0.017784
"L","L","W",9,9,35,11,0.01085
"W","W","D",10,10,39,9,0.09464
"D","W","D",11,11,37,10,0.03179
"L","W","D",12,12,36,11,0.019395
"W","D","D",13,13,37,11,0.065637
"D","D","D",14,14,35,11,0.022048
"L","D","D",15,15,34,11,0.013451
"W","L","D",16,16,36,11,0.057569
"D","L","D",17,17,34,11,0.019337
"L","L","D",18,18,33,11,0.011798
"W","W","L",19,19,38,9,0.100273
"D","W","L",20,20,36,11,0.033682
"L","W","L",21,21,35,11,0.020549
"W","D","L",22,22,36,11,0.069544
"D","D","L",23,23,34,11,0.02336
"L","D","L",24,24,33,11,0.014252
"W","L","L",25,25,35,11,0.060996
"D","L","L",26,26,33,11,0.020489
"L","L","L",27,27,32,12,0.0125
